,video_id,paragraph,questions
10,0UFwGJe6ubg,"The averages there and the distributions look moderately similar.
If you're coming from a skilled nursing facility, if you are in a skilled nursing facility, you're probably old because younger people don't typically need skilled nursing care.
And I'm not sure why transfers within the facility are significantly younger ages, but that's true from the MIMIC data.
What about age at admission by language? So some people speak English.
Some people speak not available.
Some people speak Spanish, et cetera.
So it turns out the Russians are the oldest.
And that may have to do with immigration patterns, or I don't know exactly why.
But that's what the data show.
If you do it by ethnicity, it turns out that African-Americans, on the whole, are somewhat younger than whites.
And Hispanics are somewhat younger yet.
So that means that those subpopulations apparently need intensive care earlier in life than whites.
So this is a topic that's very hot right now, discussions about how bias might play into health care.","I don't quite understand how the professor can interpret from the plot that ""African Americans are somewhat younger than whites."" Can someone explain to me how one could draw this conclusion? Thanks. :)"
11,0jljZRnHwOI,"And that forces you to indent everything that's a code block.
So you can easily see sort of where the flow of control is and where decision making points are and things like that.
So in this particular example, we have one if statement here, and it checks if two variables are equal.
And we have an if, elif, else.
And in this example, we're going to enter either this code block or this one or this one, depending on the variables of x and y.
And we're only going into one code block.
And we'll enter the first one that's true.
Notice you can have nested conditionals.
So inside this first if, we have another if here.
And this inner if is only going to be checked when we enter the first-- this outter if.
I do want to make one point, though.
So sometimes, you might forget to do the double equals sign when you are checking for equality, and that's OK.
If you just use one equals sign, Python's going to give you an error.
And it's going to say syntax error, and it's going to highlight this line.
And then you're going to know that there's a mistake there.
And you should be using equality, because it doesn't make sense to be using-- to assign-- to be making an assignment inside the if.","What is the use of the nested ""if"" statement, and when should it be used?"
12,0jljZRnHwOI,"So the for loop says, for some loop variable-- in this case, I named it n.
You can name it whatever you want.
In range 5-- we're going to come back to what range means in a little bit-- print n.
So every time through the loop, you're going to print out what the value of n is.
Range 5 actually creates internally a sequence of numbers starting from 0 and going to that number 5 minus 1.
So the sequence is going to be 0, 1, 2, 3, and 4.
The first time through the loop, you're going to say n is equal to 0.
Or internally, this is what happens.
N gets the value of 0.
You're going to print n.
Then you're going to go back to the top.
N gets the value 1.
Then you're going to go execute whatever is inside.
So you're going to print 1.
Then you're going to increment that to the next value in the sequence.
You're going to print out 2, and so on.","""Where do you subtract 1 from 5?""
She points at the whiteboard and says, ""That number, 5-1."" However, when the whiteboard is shown, there is neither a number nor an equation (5-1) visible. Where does it come from?"
13,0rt2CsEQv6U,"Um, and then expected value of [NOISE] this quadratic term.
Um, because this quadratic term here, kind of the inductive case was what we showed was V star for the- for the next time step, right? So it turns out that, um, let's see.
So this is a quadratic function, and this expectation is the expected value of a quadratic function with respect to s drawn from a Gaussian, right? With a certain mean and certain variance.
So it turns out that, um, the expected value of this thing, right? Well, this whole thing that I just circled.","""Shouldn't the 'Big Quadratic Function' include the second term, since a_t is present?"""
14,0zuiLBOIcsw,"And I can- I wanna contract them into a super-node, ah, and, uh, create a new network, a next level network, where super-nodes are connected if there is at least one edge between the nodes, ah, of the corresponding communities, um, and the, ah, weights, ah, of the edges between two super-nodes is the sum of the edge weights across all edges between their corresponding communities.
And now I will have a super graph.
And I simply go and run, ah, phase 1, ah, again.
All right, so the idea is, I have my original network, I run phase 1 to identify clusters.
Now I contract each cluster into a super-node.
I connect two clusters, if there is at least one edge, ah, between them.
And now this will be a weighted network where the, the edge weights are denoted here, so this will be the total number of edges between C_1 and C_2.
And this would be the total number of edges, ah, between the members of, ah, C_2 ah, and so on.
And now that I have the super graph, I simply apply my, ah, phase 1 algorithm again.
So the way this will work is, ah, you know, to summarize, I have my original network, I pick a node and, ah, initially I put every node into its own community.
Um, and then I ask, ah, a node, what if I move you to the same community as your member node 2 is up.","The slide indicates that Delta M_0,4 equals 0.26. However, since nodes 0 and 4 are not connected, I believe we should not calculate this change in modularity, right? We should only compute it for the neighbors of node 0, shouldn't we?"
15,1A6VoEkQnhQ,"And, uh, the reason why a, uh, uh, plain GNN cannot differentiate between, you know, node 1 in, uh, a cycle of length 3 versus a cycle of leng- length 4 is that if you look at the GNN computation graph, re- both- for both of these nodes V_1 and V_2, the computation graph is exactly the same.
Meaning, V_1- V_1 and V_2 have two neighbors, um, each, and then, you know, these neighbors have, uh, one neighbor each and the computation graph will always look like this.
Uh, unless, right, you have some way to discriminate nodes based on the features.
But if the nodes have the same, um, set of, uh, features that not- you cannot discriminate them based on their attributes, then you cannot learn, uh, to discriminate node V_1 from V_2.
They will- from the GNN point of view, they will all, uh, look the same.
I'm going to go into more, uh, depth, uh, uh, around this, uh, this example and, er, what are some very important implications of it and consequences of it when we are going to discuss the theory of, uh, graph neural networks.","The computational graphs are structurally the same for node v_1, but they will be fed different embeddings. These embeddings will implicitly include information about the nodes. However, a GNN may still struggle to distinguish between cycles of varying types and shapes."
16,247Mkqj_wRM,"So I take the coefficients e that we have just defined, I, uh, exponentiate them, and then, you know, divide by the s- exponentiated sum of them so that, uh, these, uh, attention weights, uh, alpha now are going to sum to 1.
And then, right when I'm doing message aggregation, I can now do a weighted sum based on the attention weights, uh, alpha.
So here are the alphas.
These are these alphas that depend on e, and e is the, uh, is the, um, is- depends on the previous layer embeddings of nodes, uh, u and v.
So, for example, if I now say, how would aggregation for node A look like? The way I would do this is I would compute these attention weights, uh- uh, Alpha_AB, Alpha_AC, and Alpha_AD because B, C, and D are its neighbors.
Uh, these alphas will be computed as I- as I show up here, and they will be computed by previous layer embeddings, uh, of these, uh, nodes on the endpoints of the edge.
And then my aggregation function is simply a weighted average of the messages coming from the neighbors, where message is, uh- uh- uh, multiplied by the weight Alpha that we have, uh, computed and defined up here.
So that's, um, [NOISE] basically the idea of the attention mechanism.
Um, now, what is the form of this attention mechanism a? We still haven't decided how embedding of one node and embedding of the other node get- get combined, computed into this, uh- uh, weight, uh, e.
Uh, the way it is usually done is, uh- um, you- you have many different choices.
Like you could use a simple, uh, linear layer, uh, one layer neural network to do this, um, or, uh, have alpha, uh, this, um, function a have trainable parameters.
Uh, so for example a p- uh, a popular choice is to simply to say: let me take the embeddings of nodes A and B at the previous layer, perhaps let me transform them, let me concatenate them, and then apply a linear layer to them, and that will give me this weight, uh, e_AB, to which then I can apply softmax, um, and then based on that, ah, softmax transformed weight, I use that weight as, uh- uh, in the aggregation function.","After watching this lecture, I had two questions: Is there a query key-value interpretation of the simple ""linear attention"" mechanism in graph attention networks? Also, when describing the normalization of the unnormalized attention weights a_{vu} in the graph attention network scheme, why don't we simply divide by the total sum of all the attention weights? Why do we use a softmax function to suppress the non-maximal weights and primarily focus on a single neighbor?"
17,247Mkqj_wRM,"So, last lecture, we talked about graph convolutional neural network or a GCN.
And I've wrote this equation, I said, ah-ha, the embedding of node v at layer l is simply an average of the embeddings of nodes u that are neighbors of we normalized the by the- by the N-degree of node v and transformed with matrix W and sent through a non-linearity.
So now the question is, how can I take this equation that I've written here and write it in this message transformation plus aggregation function.
And the way you can- you can do this is simply take this W and distribute it inside.
So basically now W times h divided by number of neighbors is the message transformation function.
And then the message aggregation function is simply a summation.
And then we have a non-linearity here.","This may be a minor detail, but for the sake of conceptual clarity, I would like to inquire: Wouldn't it be more logical to attribute the normalizing factor 1/|N(v)| to the aggregation phase in the classical GCN layer, which is understood as a combination of message transformation and aggregation? This is because the factor depends on the node receiving the messages, not solely on the message itself. In other words, shouldn't we apply the distributive law to separate it from the sum? By doing so, the message transformation step would be influenced only by the message, without regard to the destination node. To me, this approach appears more conceptually coherent for what is considered a ""message transformation."""
18,247Mkqj_wRM,"Then we have to aggregate these messages into a single message and pass it on.
So the way you can think of this is that we get messages, denoted as circles here, from the three neighbors, from the previous layer.
We also have our own message, right? Message of the node v from the previous layer.
Somehow we want to combine this information to create the next level embedding or to the next level message for this node of interest.
What is important here to note is that this is a set.
So the ordering in which we are aggregating these messages from the children is not important.
What is arbitrary? And for this reason, these aggregation functions that aggregate, that summarize, that compress in some sense, the messages coming from the children have to be order invariant because they shouldn't depend, in which ordering, am I considering the neighbors? Because there is no special ordering to the neighbors, to the lower level, to the children in the network.
That's an important detail.
Of course, another important detail is that we want to combine information coming from the neighbor- from the neighbors together with a node's own information from the previous layer as denoted here.","""When he mentioned that we have the value of the self node from the previous layer, was he referring to the value of V from the last iteration? This is because 'layer' here actually denotes the layer preceding the one where V does not yet exist. I realize this may be delving too deeply into semantics, but I just want to be absolutely certain. Or is it the self-loop that is considered the previous layer in this context?"""
19,2P-yW7LQr08,"So the last thing I'll do-- and I just have one more minute-- is give you a sense of a small change to interval scheduling that puts us in that NP complete domain.
So so far, we've just done two problems.
There's many others.
We did interval scheduling.
There was greedy linear time.
Weighted interval scheduling is order n squared according to this particular DP formulation.
It turns out there's a smarter DP formulation that runs an order n log n time that you'll hear about in section on Friday, but it's still polynomial time.
Let's make one reasonable change to this, which is to say that we may have multiple resources, and they may be non identical.","I don't understand. If recursive calls are O(1), shouldn't the complexity be O(n)? Why is it O(n^2)? Can somebody explain?"
20,2g9OSRKJuzM,"Now, this looks kind of random.
Anybody recognize these numbers? No one from the great City of New York? No? Yup, yup.
AUDIENCE: On the subway stops? SRINIVAS DEVADAS: Yeah, subway stops on the Seventh Avenue Express Line.
So this is exactly the notion of a skip list, the fact that you have-- could you stand up? Great.
All right.
So the notion here is that you don't have to make a lot of stops if you know you have to go far.
So if you want to go from 14th Street to 72nd Street, you just take the express line.
But if you want to go to 66th Street, what would you do? AUDIENCE: Go to 72nd and then go back.
SRINIVAS DEVADAS: Well, that's one way.
That's one way.
That's not the way I wanted.
The way we're going to do this is we're not going to overshoot.
So we want to minimize distance, let's say.
So our secondary thing is going to be minimizing distance travel.
And so you're going to pop up the express line, go all the way to 42nd Street, and you're going to say if I go to the next stop on the Express Line, I'm going too far.
And so you're going to pop down to the local line.
So you can think of this as being link list L0 and link list L1.","I don't understand why he avoids overshooting here. Since traveling on L1 is faster, shouldn't going to 72 and then back to 66 result in the fewest number of nodes?"
21,3pU-Hrz_xy4,"So this is actually equal to 2 in this case.
And this corresponds to this value in the table which is again the agent is following a maximizer assuming the opponent is a minimizer.
Opponent was not a minimizer, opponent was just following Pi 7.
And this is just equal to 2 .
Okay.
So so far, the things I've shown are actually very intuitive.
They seem a little complicated but they're very intuitive.
What I've shown is that this value of minimax, it's an upper bound.
If you're assuming our, our opponent is a terrible opponent, now it's going to be an upper bound because the best thing I can do is maximize.
I've also shown it's a lower bound if my opponent is not as bad.
So, so that's what I've shown so far.
A question.
So here the opponent's policy is completely hidden to the agent.
Yeah.
So here, like, because- Yeah, the agent actually doesn't see the opponent- where the opponent goes, right? Even in the expectimax case, it thinks the opponent is going to follow Pi 7, but maybe the opponent follows Pi 7, maybe not.
Right so, so like when we talk about expectimax and minimax, it's always the case that the opponent doesn't actually see what the opponent does.
But the opponent can think- the agent can think what the opponent does, okay? And I'm going to talk about one more property.","Why does V(pimax, pi7) equal 2 instead of 5, assuming that the agent will attempt to maximize his value while the opponent behaves stochastically (i.e., with distributions of 0, 2, 5)?"
22,3v5Von-oNUg,"I think that's right.
But now we have our original aR bR plus 2q plus 8q is equal to this thing.
And finally, we can divide this thing by R very cheaply.
Because we just discard the low four zeros.
Make sense? Question.
AUDIENCE: Is aR bR always going to end in, I guess, 1,024 zeros? PROFESSOR: No, and the reason is that-- OK, here is the thing that's maybe confusing.
A was, let's say, 512 bits.
Then you multiply it by R.
So here, you're right.
This value is that 1,000 bit number where the high bit is a, the high 512 bits are a.
And the low bits are all zeros.
But then, you're going [? to do it with ?] mod q to bring it down to make it smaller.","OMG, I was so confused the whole time, LOL. However, the lecture was wonderful, and I was able to follow easily and deduce things from his prompts. Nonetheless, I think many properties he mentioned, such as inverses, apply only to finite fields with prime order, right? I believe it should have been mentioned just once, unless I am mistaken. I will probably give it another look."
23,3v5Von-oNUg,"So instead of doing 500 mod qs for every multiplication step, you do it twice mod q.
And then you keep doing these divisions by R cheaply using this trick.
Question.
AUDIENCE: So when you're adding the multiples of q and then dividing by R, [INAUDIBLE] PROFESSOR: Because it's actually mod q means the remainder when you divide by q.
So x plus y times q, mod q is just x.
AUDIENCE: [INAUDIBLE] PROFESSOR: So in this case, dividing by-- so another sort of nice property is that because it's all modulus at prime number-- it's also true that if you have x plus yq divided by R, mod q is actually the same as x divided by R mod q.
The way to think of it is that there's no real division in modular arithmetic.
It's just an inverse.
So what this really says is this is actually x plus yq times some number called R inverse.
And then you compute this whole thing mod q.
And then you could think of this as x times R inverse mod q plus y [? u ?] R inverse mod q.
And this thing cancels out because it's something times q.
And there's some closed form for this thing.
So here I did it by bit by bit, 2q then 8q, et cetera.
It's actually a nice closed formula you can compute-- it's in the lecture notes, but it's probably not worth spending time on the board here-- for how do you figure out what multiple of q should you add to get all the low bits to turn to 0.","OMG, I was so confused the whole time, LOL. However, the lecture was wonderful, and I was able to follow easily and deduce things from his prompts. Nonetheless, I think many properties he mentioned, such as those of inverses, apply only to finite fields with prime order, right? I believe it should have been mentioned just once, unless I am mistaken. I will probably review it to be sure."
24,4b4MUYve_U8,"Okay? Um, so in order to- [NOISE] so in order to simplify the notation, [NOISE] um, [NOISE] in order to make that notation a little bit more compact, um, I'm also gonna introduce this other notation where, um, we want to write a hypothesis, as sum from J equals 0-2 of theta JXJ, so this is the summation, where for conciseness we define X0 to be equal to 1, okay? See we define- if we define X0 to be a dummy feature that always takes on the value of 1, then you can write the hypothesis h of x this way, sum from J equals 0-2, or just theta JXJ, okay? It's the same with that equation that you saw to the upper right.
And so here theta becomes a three-dimensional parameter, theta 0, theta 1, theta 2.
This index starting from 0, and the features become a three dimensional feature vector X0, X1, X2, where X0 is always 1, X1 is the size of the house, and X2 is the number of bedrooms of the house, okay? So, um, to introduce a bit more terminology.
Theta [NOISE] is called the parameters, um, of the learning algorithm, and the job [NOISE] of the learning algorithm is to choose parameters theta, that allows you to make good predictions about your prices of houses, right? Um, and just to lay out some more notation that we're gonna use throughout this quarter.","May I ask, what does O(theta) represent exactly?"
25,4b4MUYve_U8,"Uh, that's times the partial derivative of Theta J of X Theta X minus Y, right? So if you take the derivative of a square, the two comes down and then you take the derivative of what's inside and multiply that, right? [NOISE] Um, and so the two and one-half cancel out.
So this leaves you with H minus Y times partial derivative respect to Theta J of Theta 0X0 plus Theta 1X1 plus th- th- that plus Theta NXN minus Y, right? Where I just took the definition of H of X and expanded it out to that, um, sum, right? Because, uh, H of X is just equal to that.","What are x0 and x1? If we consider a single feature, such as the number of bedrooms, how can both x0 and x1 exist? Wouldn't x0 be nonexistent? This is confusing. To put it another way, if my Theta0 update function depends on x0 for the update, but x0 is nonexistent, then Theta0 will never change from its initial value."
26,4b4MUYve_U8,"Um, and then finally, by convention, we put a one-half there- put a one-half constant there because, uh, when we take derivatives to minimize this later, putting a one-half there would make some of the math a little bit simpler.
So, you know, changing one- adding a one-half.
Minimizing that formula should give you the same as minimizing one-half of that but we often put a one-half there so to make the math a little bit simpler later, okay? And so in linear regression, we're gonna define the cost function J of Theta to be equal to that.","Dear Dr. Andrew, I watched another one of your videos about the cost function in linear regression, which used 1/2m, but in this video, you used 1/2. Could you explain the difference between the two? (footnote)"
27,4dj1ogUwTEM,"Anyway, just as there's a decimal expansion of every real number, there's a binary expansion just using base 2.
So here's the binary expansion of 3 and 1/3.
So what I'm going to do is I'm going to map 3 and 1/3 to this binary sequence.
I'm going to ignore the decimal place.
Binary is not decimal place.
It's a [? becimal ?] place, or binary position.
And I'm just going to take this to mapping the sequence, 11010101.
And I claim that this is a surjection because you're going to hit every possible binary sequence in this way.
Well, almost.
Let's take a closer look.
There's a problem with mapping to things that start with 0, because let's examine that a half is 0.10000000.
So I would map it to that.
And it will end.
But there's an ambiguity, because a half is also equal to 0.011111, just as 0.999999 is equal to 1.000000 in decimal, you get the same infinite carry issue here in binary.
So numbers that end in all ones have another way to represent the very same number by a sequence that ends in all zeroes.",How do we know that we will encounter every possible infinite string?
28,4dj1ogUwTEM,"But we'll think about it as though we could.
Let's think about this matrix again.
So suppose A is this set of elements, a, b, s, t, d, e.
I'm scrambling up the alphabet on purpose, because I don't want you to get the idea that we're assuming that A is countable, that you can list all the elements of A.
I'm not assuming that.
But I'm just writing out a sample of elements of A.
And let's suppose that I was trying to get a surjection from A to the power set of A.
So suppose I have a function f that maps each of the successive elements of A to some subset of A.","""Why does f(a) have to be related to subsets? How does applying a function to every element of a set create its power set?"""
29,4nXw-f6NJ9s,"And you can even download the level-- an example of the level and play it, if you dare.
So that's a lot of-- we have a lot of fun in that world of hardness of different games and puzzles.
Where do I want to go next? OK.
Next topic is balloon twisting.
Totally different.
This is recreational, but not about hardness.
This is an octahedron twisted from one balloon.
I made another one on a stick.
Each of these is made for one balloon.
What graphs can you make for one balloon? Well, you should read our paper.
And you can characterize how many balloons you need to make each polyhedron.
And some of these problems are NP-hard, and it's a lot of fun.
Cool.
I think that's the end of the slides.
The last thing I wanted to show you is a problem, a puzzle/magic trick-- it comes from the puzzle world-- called the picture hanging problem.
So imagine you have a picture.
You want to hang it on a wall.
So you invested in some nice rope, and you hang it on a nail.","Is that essentially an AND gate implemented with rope? The picture hangs when both values are TRUE; otherwise, it falls when either value is FALSE."
30,51-b2mgZVNY,"Again, 8 factorial.
OK.
Finally, how many permutations are there that have all three patterns-- 60, 04, and 42? That of course, is exactly the same as the set of sequences with the single pattern 6042, the four digit pattern.
And again, we count that by saying that it's the number of permutations of the digits other than 6042-- six of them plus the 6042 object.
There are seven of these , and so there are 7 factorial permutations that have all three patterns.
So that means that I can go back to my inclusion-exclusion formula for the sequences that have one of the three patterns-- 60, 04, and 42-- and plug them in.
So I get 3 9 factorials for the first sum of three terms.
The intersections-- we all figured out each of them were-- I'm sorry it's 8 factorial.
So I'm going to subtract 3 times 8 factorial.
And this last term we figured out was 7 factorial.
Well, I can think of 3 times 9 factorial as 9 times 8 times 3 times 7 factorial, and this is 3 times 8 times 7 factorial.
And I wind up [NO AUDIO] PROFESSOR: 72,720.
That's how many permutations of the digits 0 through 9 there are that have one or another of these three patterns.
Turns out that's about 27% of the 10 factorial permutations of 0 through 9.
So that's the significance of applying the disjunction of constraints, this union of having either 60, 04, or 42.
","""Which method is he using to calculate the result?"""
